S. No.,PCB Annotations,Part Name,Qty.,Unit Price(?),Total Price(?),Product link,LCSC Part No.
35,,68uF Capacitor for Crossover,2,18,36,https://robu.in/product/uhe2a680mpd1td-nichicon-68uf-%c2%b120-plugind10xl16mm-aluminum-electrolytic-capacitors-leaded-rohs/,
36,,2.5mH 16 AWG Steel Laminate Inductors,2,700,1400,https://audiofy.in/collections/air-core-coils/products/audiofy-2-5mh-16-awg-steel-laminate-inductors?_pos=31&_fid=0ef5b0c1e&_ss=c,
37,,1.2mH 16 AWG Air Core Crossover Inductor,2,960,1920,https://audiofy.in/collections/air-core-coils/products/audiofy-1-2mh-16-awg-air-core-crossover-inductor?_pos=26&_fid=0ef5b0c1e&_ss=c,
38,,0.21mH 16 AWG Air Core Crossover Inductor,4,400,1600,https://audiofy.in/products/audiofy-0-21mh-16-awg-air-core-crossover-inductor?_pos=3&_fid=0ef5b0c1e&_ss=c,
39,,6.8uF 400VDC Metalized Polypropylene Capacitor,2,190,380,https://audiofy.in/collections/capacitors/products/audiofy-6-8uf-400vdc-metalized-polypropylene-capacitor,
40,,10uF 400VDC Metalized Polypropylene Capacitor,2,250,500,https://audiofy.in/collections/capacitors/products/audiofy-10uf-400vdc-metalized-polypropylene-capacitor,
,,Acoustic Foam,1,1375,1375,https://www.amazon.in/gp/product/B0FYQCMLZ9/ref=ox_sc_act_title_1?smid=A2ZCVNXGUE75O5&psc=1,
,,16AWG black wire,4,48,192,https://robu.in/product/16awg-high-voltage-silicone-wire-3000v-black/,
,,16AWG red wire,4,48,192,https://robu.in/product/16awg-high-voltage-silicone-wire-3000v-red/,
,,Multicore wire 14AWG,2,202,404,https://robu.in/product/14awg-multicore-insulated-cable2-cores-silicone/,
,,24AWG wire black,,12,12,https://robu.in/product/24awg-high-voltage-silicone-wire-3000v-black/,
,,24AWG wire red,,12,12,https://robu.in/product/24awg-high-voltage-silicone-wire-3000v-red/,
,,,,,,,
,,"Woofer 80W rms, 4ohm",4,489,1956,https://www.amazon.in/gp/product/B0GM8CFPC8/ref=ox_sc_act_title_4?smid=A2027VTOM6MJQW&psc=1,
,,"Sub Woofer 450W rms , 4ohm, 10Inch",1,1749,1749,https://www.fredo.in/10-inch-DVC-Double-magnet-subwoofer,
,,"Mid Range Driver, 55W rms, 4ohm",2,700,1400,https://www.amazon.in/gp/product/B0DMVNY3SN/ref=ox_sc_act_title_2?smid=AC4Z8Y75CCUJO&psc=1,
,,"Tweeter 15W rms, 4ohm pair",1,425,425,https://www.amazon.in/gp/product/B0F1N9MBHK/ref=ox_sc_act_title_3?smid=A2XU7ZIBV8JGWJ&psc=1,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,Wooden Enclosure,1,10000,Fulfilled by me,"sourced from local carpenter, Paid by me",
